Well name: I01
depth(m)	 transit time (micron/sec)
2293.6610	  261.200848
2293.8594	  260.211051
2294.0579	  257.767953
2294.2563	  265.705017
2294.4547	  262.430579
2294.6532	  267.072502
2294.8516	  256.383053
2295.0500	  256.291378
2295.2485	  258.025651
2295.4469	  259.079112
2295.6454	  263.381896
2295.8438	  256.827318
2296.0422	  257.630746
2296.2407	  256.382821
2296.4391	  261.185567
2296.6375	  260.874624
2296.8360	  263.646800
2297.0344	  260.292514
2297.2328	  261.180873
2297.4313	  259.313873
2297.6297	  264.155187
2297.8282	  261.157258
2298.0266	  262.917309
2298.2250	  262.231256
2298.4235	  258.814839
2298.6219	  265.811286
2298.8203	  262.675125
2299.0188	  251.356360
2299.2172	  259.929691
2299.4157	  266.187820
2299.6141	  267.009751
2299.8125	  264.211789
2300.0110	  234.401983
2300.2094	  238.872095
2300.4078	  239.892845
2300.6063	  242.636798
2300.8047	  237.495465
2301.0031	  231.882042
2301.2016	  240.602800
2301.4000	  228.912074
2301.5985	  235.787087
2301.7969	  245.258216
2301.9953	  234.344835
2302.1938	  230.381210
2302.3922	  241.339457
2302.5906	  239.884247
2302.7891	  242.887693
2302.9875	  230.496865
2303.1860	  235.406409
2303.3844	  233.452624
2303.5828	  233.817736
2303.7813	  236.645845
2303.9797	  233.357221
2304.1781	  231.701196
2304.3766	  237.495814
2304.5750	  235.447547
2304.7734	  237.473190
2304.9719	  241.830559
2305.1703	  231.582512
2305.3688	  233.796123
2305.5672	  237.337960
2305.7656	  234.951092
2305.9641	  239.164179
2306.1625	  231.434345
2306.3609	  237.027723
2306.5594	  237.544062
2306.7578	  233.221993
2306.9563	  236.132390
2307.1547	  240.537061
2307.3531	  234.549116
2307.5516	  231.727794
2307.7500	  238.920370
