Well name: E02
depth(m)	 transit time (micron/sec)
2222.1719	  252.642120
2222.3294	  246.471569
2222.4870	  251.154870
2222.6445	  245.028602
2222.8020	  186.325899
2222.9596	  188.864969
2223.1171	  188.425255
2223.2746	  188.488669
2223.4322	  192.490561
2223.5897	  192.861061
2223.7473	  185.324133
2223.9048	  184.336603
2224.0623	  178.737744
2224.2199	  188.274624
2224.3774	  183.871982
2224.5349	  181.583115
2224.6925	  185.240072
2224.8500	  188.157460
